Parameter,CC,Minimum Value,Maximum Value,Layer,Tooltip,Choices
Hue,1,0,127,Foreground,Sets color [roygbivmr]. Cyclic (min val = max val),"Notes to Drives
Move startLED with each note on event
Rainbow Wheel
Moving Dots
Comets
Back and Forth
Color Sinusoid
Flash Lights
Ocean Waves
Opposing Waves"
Saturation,2,0,127,Foreground,"Sets saturation [white, chosen hue]","Notes to Drives
Move startLED with each note on event
Rainbow Wheel
Moving Dots
Comets
Back and Forth
Color Sinusoid
Flash Lights
Ocean Waves
Opposing Waves"
Brightness,3,0,127,Foreground,"Sets intensity [LED off, LED on]","Notes to Drives
Move startLED with each note on event
Rainbow Wheel
Moving Dots
Comets
Back and Forth
Color Sinusoid
Flash Lights
Ocean Waves
Opposing Waves"
Start,4,0,127,Foreground,start position of line,"Move startLED with each note on event
Moving Dots
Comets
Back and Forth
Color Sinusoid"
Length,5,0,127,Foreground,length of line,"Move startLED with each note on event
Moving Dots
Comets
Back and Forth
Color Sinusoid
Ocean Waves
Opposing Waves"
Foreground,6,0,127,,Layering of effects,"Notes to Drives
Rainbow Wheel
Moving Dots
Comets
Back and Forth
Move startLED with each note on event
Color Sinusoid
Flash Lights
Ocean Waves
Opposing Waves"
Number of Lines,7,0,127,Foreground,Number of lines,"Move startLED with each note on event
Moving Dots
Comets"
Color Amplitude,8,0,127,Shared,color Amplitude for color sinusoid,"Color Sinusoid
Color Sinusoid"
Background,9,0,127,,Layering of effects,"Flat Color background
rainbow wheel background
Color Sinusoid"
Pan,10,0,127,Foreground,Pan position for wave effects,"Ocean Waves
Opposing Waves"
Hue,11,0,127,Background,Sets color [roygbivmr]. Cyclic (min val = max val),"Flat Color background
rainbow wheel background
Color Sinusoid"
Saturation,12,0,127,Background,"Sets saturation [white, chosen hue]","Flat Color background
rainbow wheel background
Color Sinusoid"
Brightness,13,0,127,Background,"Sets intensity [LED off, LED on]","Flat Color background
rainbow wheel background
Color Sinusoid"
Start,14,0,127,Background,start position of line,Color Sinusoid
Length,15,0,127,Background,length of line,Color Sinusoid
